Profile,Landform,subLandform,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
71,Lower_slope,NA,499377,6404113,116.9934,-32.50025,B1,B,15-30,15,30,22.5,0.2,80.9,10.6,8.5,1.580,1.170,0.080,14.200,5.10,4.80,192.7,6.76,0.04,5.38,0.07,0.84,0.13
72,Lower_slope,NA,499214,6403703,116.9916,-32.50395,B1,B,24-36,24,36,30,0.1,90.0,6.9,3.1,1.590,0.180,0.020,8.900,5.60,4.60,82.5,1.17,0.98,0.28,0.09,0.1,0.05
73,Lower_slope,NA,498861,6403134,116.9879,-32.50908,B1,B,23-43,23,43,33,0.0,32.2,10.3,57.6,1.290,0.400,0.060,6.800,5.90,5.10,170,7.24,0.25,2.87,0.22,3.08,0.59
74,Valley_floor,Lower_slope,498125,6403455,116.98,-32.50619,B1,B,27-60,27,60,43.5,11.6,50.9,3.1,46.0,1.700,0.240,0.040,6.800,5.60,5.30,1558,7.11,0.05,0.56,0.1,4.35,6.15
75,Lower_slope,NA,498350,6403540,116.9824,-32.50542,B1,B,15-35,15,35,25,29.5,83.5,6.4,10.2,1.450,0.280,0.030,11.400,6.50,5.30,15.9,2.99,0.06,2,0.14,0.57,0.04
76,Lower_slope,NA,498036,6403443,116.9791,-32.50629,B,B,23-68,23,68,45.5,16.5,41.6,4.6,53.8,1.420,0.350,0.060,6.200,5.80,5.00,120.2,6.9,0.1,2.4,0.01,3.09,0.48
77,Valley_floor,NA,497749,6403736,116.976,-32.50365,B1,B,22-38,22,38,30,53.0,88.4,3.5,7.9,1.660,0.430,0.030,14.900,5.80,4.80,27.2,0.98,0.05,0.76,0.01,0.17,0.04
78,Lower_slope,NA,495287,6404011,116.9498,-32.50116,B1,B,37-58,37,58,47.5,18.9,88.2,8.8,3.0,1.600,0.080,0.020,4.500,4.10,3.70,12.2,1.2,0.2,0.3,0.005,0.2,0.005
79,Mid-slope,NA,495601,6403548,116.9532,-32.50534,B1,B,30-40,30,40,35,7.7,92.3,4.5,3.2,1.700,0.070,0.010,11.200,5.25,3.95,19.5,0.7,0.2,0.1,0.005,0.1,0.1
80,Valley_floor,NA,496179,6403888,116.9593,-32.50227,B2.1,B2,23-42,23,42,32.5,13.2,79.2,4.5,16.3,1.600,0.860,0.070,12.800,7.19,5.24,12.45,7.8,0.1,3.6,0.1,1.3,0.2
81,Sub_valley_floor,NA,495842,6404279,116.9557,-32.49875,B,B,64-100,64,100,82,60.0,97.2,2.8,0.0,1.700,0.210,0.030,7.400,6.80,6.01,253,1.6,0.005,0.4,0.1,1,0.5
82,Mid-slope,NA,499186,6404600,116.9913,-32.49586,B1,B,14-32,14,32,23,30.0,88.1,5.6,6.3,1.600,0.050,0.690,14.800,4.62,4.41,22.35,1.9,0.1,1.2,0.005,0.2,0.1
83,Mid-slope,NA,499543,6404302,116.9951,-32.49855,B1,B,27-47,27,47,37,0.0,93.3,3.5,3.2,1.500,0.150,0.020,6.300,5.19,4.12,18.1,0.4,0.2,0.2,0.005,0.005,0.005
84,Valley_floor,NA,499525,6403063,116.9949,-32.50972,B1,B,23-34.5,23,34.5,28.75,2.1,92.5,3.7,3.7,1.800,0.110,0.020,6.600,8.07,6.57,287,2,0.005,0.7,0.1,1.3,1.3
85,Lower_slope,Sub_valley_floor,499038,6403680,116.9898,-32.50416,B1,B,16-30,16,30,23,11.8,67.0,7.7,25.3,1.200,0.150,1.620,11.000,5.25,5.30,29.5,43.2,0.005,19.3,3.5,18.8,1.6
