Profile,Landform,subLandform,LF5,LF3,Easting,Northing,Latitude,Longitude,Horizon,Horiz.simp,Depth.range,Depth.upper,Depth.lower,Depth.mean,Gravel.pct,Sand.pct,Silt.pct,Clay.pct,Bulk.density,C.pct,N.pct,C.N.ratio,pH.H2O,pH.CaCl2,EC,CEC,Al_ex,Ca_ex,K_ex,Mg_ex,Na_ex
85,Lower_slope,Sub_valley_floor,LS,Depositonal,499038,6403680,116.9898,-32.50416,A,A,0-16,0,16,8,3.7,72.7,11,16.3,1.2,0.25,2.59,10.4,4.9,5.2,38.8,30.5,0.005,16.1,2.8,9.5,0.5
86,Lower_slope,Mid-slope,LS,Depositonal,500472,6406189,117.005,-32.48152,A,A,0-10,0,10,5,37,89.1,4.8,6.1,1.26,2.8,0.18,15,6.86,5.55,85.1,6.7,0.1,5.7,0.2,0.8,0.1
87,Valley_floor,Lower_slope,VF,Depositional,500369,6406448,117.0039,-32.47919,A1,A,0-15,0,15,7.5,10,65.8,30.2,4.1,1.61,1.7,0.13,13.2,6.45,5.41,98.7,4.3,0.005,3.2,0.1,0.5,0.4
88,Valley_floor,NA,VF,Depositional,500517,6406387,117.0055,-32.47974,Ap,A,0-2,0,2,1,7.3,87.7,5.5,6.8,NA,2.5,0.11,22.3,5.73,3.67,5500,3.6,0.7,0.3,0.2,8.3,35.9
89,Mid-slope,NA,MS,Erosional,499731,6407110,116.9971,-32.47322,A1,A,0-14,0,14,7,12.8,87.3,8.4,4.3,1.274,2.8,0.26,10.8,5.15,5.85,610,8.3,0.005,6.4,0.9,1.3,1.2
90,Upper_slope,Mid-slope,US,Erosional,499965,6407206,116.9996,-32.47235,A1,A,0-10,0,10,5,27.7,88.5,8.3,3.3,1.34,2,0.15,13.2,5.49,4.56,154,4.8,0.2,3.4,0.4,0.4,0.3
91,Residual,NA,RE,Residual,499990,6407578,116.9999,-32.46899,A1,A,0-10,0,10,5,NA,64.8,8.5,26.7,1.44,0.1,3.2,35.9,5.48,5.05,2970,8.3,0.1,1.2,0.4,4.6,15.8
92,Residual,NA,RE,Residual,499992,6407442,116.9999,-32.47022,A1,A,0-8,0,8,4,31.3,84.8,6.3,8.9,NA,0.2,5.25,25.9,6.1,4.67,16.92,2,0.1,0.7,0.2,0.3,0.2
93,Nonresid_upland,NA,US,Erosional,496966,6406015,116.9677,-32.48309,A1,A,0-16,0,16,8,2.9,88.2,5.3,6.5,1.194,5.09,0.25,5.34,6.3,5.5,87.7,10.1,0,7,0.1,2.7,0.6
94,Upper_slope,NA,US,Erosional,497408,6405271,116.9724,-32.4898,A,A,0-10,0,10,5,8.5,94.5,0.2,5.3,1.271,2.49,0.2,12.58,5.7,4.9,258,13.2,0,7.3,0.2,2.5,0.6
95,Residual,NA,RE,Residual,498190,6405398,116.9807,-32.48866,A1.1,A,0-14,0,14,7,24.4,69.4,24.4,6.2,1.009,6.92,0.25,27.68,5.4,4.3,153.8,2.3,0.8,0.5,0.1,0.6,0.2
96,Mid-slope,NA,MS,Erosional,498021,6406009,116.9789,-32.48315,Ap,A,0-16,0,16,8,5.9,84,10.8,5.3,1.283,3.19,0.18,17.43,5.3,4.7,71.8,4.8,0.1,2.8,0.1,1.7,0.5
97,Lower_slope,NA,LS,Depositonal,498570,6405704,116.9848,-32.4859,Ap,A,0-11,0,11,5.5,6.2,89.4,5.4,5.2,1.449,3,0.16,19,5.1,4.4,94.7,2.5,0.8,1.9,0.1,0.4,0.2
98,Nonresid_upland,NA,US,Erosional,497297,6405615,116.9712,-32.4867,Ap,A,0-13,0,13,6.5,11,92,4.3,3.8,1.507,1.4,0.11,12.6,5.6,5,255.5,3.9,0,3,0.7,0.8,0.2
99,Residual,NA,RE,Residual,498621,6406819,116.9853,-32.47584,A,A,0-7,0,7,3.5,19.1,72.7,10.8,16.5,1.01,9.92,0.3,33.51,4.7,4.57,1888,10,0.1,1.4,0.3,7.6,15.9
100,Upper_slope,NA,US,Erosional,498605,6406597,116.9852,-32.47784,A1,A,0-10,0,10,5,11.7,90.7,6,3.3,1.58,1.71,0.11,15,4.8,4.27,229.5,3.4,0.2,2.6,0.1,0.4,0.4
101,Lower_slope,Sub_valley_floor,LS,Depositonal,497600,6406851,116.9745,-32.47555,A,A,0-21,0,21,10.5,6.7,84.4,6.3,9.3,1.357,1.91,0.13,14.58,5.54,4.45,16.3,4,0.1,2.5,0,0.8,0.3
102,Lower_slope,NA,LS,Depositonal,497935,6406296,116.978,-32.48056,Ap,A,0-7,0,7,3.5,13.6,83.3,7.8,8.8,1.398,3.44,0.28,12.11,5.48,4.88,192,8.8,0,7,0.4,1.5,0.5
